model,model_detay,model_yili,fiyat,sehir,ilce,ilan_turu,tip,marka,motor_hacmi,motor_tipi,donanim
Jeep Renegade 1.6 MultiJet Limited,2019 JEEP RENEGADE 1.6 MULTİJET LİMİTED,2019,1350000,Ankara,Altındağ,galeriden,satilik,jeep,1.6,multijet,limited
Hyundai i30 1.6 CRDi Elite,2013 HYUNDAİ İ30 1.6 CRDİ ELİTE SUNROOF HATASIZ OTOMATİK,2013,1025000,Ankara,Altındağ,galeriden,satilik,hyundai,1.6,crdi,elite
Chery Tiggo 8 Pro Max Exceptional,CHERY YENİ KASA&YENİ TİP 145 HP' Tiggo 8 PRO max 7'KLT İÇİ TABA,2024,1910900,Sakarya,Serdivan,galeriden,satilik,chery,8.pro,max,exceptional
Fiat Egea Cross 1.6 Multijet Street Plus,EGEA CROSS 2022 1.6 MLTJET STREET+PLUS HATASIZ+BOYASIZ+TRAMERSİZ,2022,1119900,Sakarya,Serdivan,galeriden,satilik,fiat,cross.1,6,multijet
Renault Captur 1.5 dCi Icon,CAPTUR 2017 1.5 DCİ EDC ICON 36.BİN KM''DE HATASIZ & BOYASIZ,2017,1179900,Sakarya,Serdivan,galeriden,satilik,renault,1.5,dci,icon
Fiat Linea 1.6 Multijet Lounge,Galeriden Fiat Linea 1.6 Multijet Lounge 2012 Model İstanbul,2012,439000,İstanbul,Ümraniye,galeriden,satilik,fiat,1.6,multijet,lounge
Mercedes - Benz Axor 1840 LS,Sahibinden Mercedes - Benz Axor 1840 LS roterdarlı klimalı orjinal km hatasız,2012,2100000,Denizli,Sarayköy,sahibinden,satilik,mercedes,axor.1840,ls,bilinmiyor
Volvo XC40 1.5 T3 Inscription,Sahibinden Volvo XC40 1.5 T3 Inscription 2021 Model,2021,2250000,İstanbul,Çekmeköy,sahibinden,satilik,volvo,1.5,t3,inscription
Skoda SuperB 1.6 TDI Prestige,HC CARS - 2019 SKODA SUPERB 1.6 TDI PRESTİGE CAM TAVAN+MAKYAJLI,2019,1849000,Ankara,Yenimahalle,galeriden,satilik,skoda,1.6,tdi,prestige
Peugeot 308 1.6 THP Feeline Plus,Galeriden Peugeot 308 1.6 THP Feeline Plus 2011 Model Antalya,2011,685000,Antalya,Muratpaşa,galeriden,satilik,peugeot,1.6,thp,feeline
Seat Arona 1.0 EcoTSI FR,SAHİBİNDEN BOYASIZ DEĞİŞENSİZ TRAMERSİZ SEAT ARONA FR PLUS 2023 ÇIKIŞLI,2022,1360000,İstanbul,Ümraniye,sahibinden,satilik,seat,1.0,ecotsi,fr
Renault Clio 1.5 dCi Grandtour Executive,Sahibinden Renault Clio 1.5 dCi Grandtour 20. Yıl  2011 Model,2011,570000,İzmir,Bornova,sahibinden,satilik,renault,1.5,dci,grandtour
Audi Q5 2.0 TDI Quattro,Sahibinden Audi Q5 2.0 TDI Quattro 2012 Model,2012,1275000,Uşak,Merkez,sahibinden,satilik,audi,2.0,tdi,quattro
BMW 5 Serisi 520i Comfort,BAZAAR AUTODAN 2014 BMW 520i DEĞİŞENSİZ MÜKEMMEL TEMİZLİKTE,2014,1135000,Kayseri,Kocasinan,galeriden,satilik,bmw,serisi.520i,comfort,bilinmiyor
Audi Q7 3.0 TDI Quattro,BAZAAR OTOMOTİVDEN 2012 MODEL Q7 İÇ DIŞ S LİNE TAM DOLU,2012,1350000,Kayseri,Kocasinan,galeriden,satilik,audi,3.0,tdi,quattro
BMW 4 Serisi 418i Gran Coupe M Sport,BAZAAR AUTO DAN ESTROİL BLUE 2015 M SPORT 418i GRAN COUPE,2015,1350000,Kayseri,Kocasinan,galeriden,satilik,bmw,serisi.418i,gran,coupe
Peugeot 207 1.4 Comfort,Sahibinden Peugeot 207 1.4 Comfort 2010 Model,2011,460000,Kocaeli,Çayırova,sahibinden,satilik,peugeot,1.4,comfort,bilinmiyor
Peugeot 408 GT,Sahibinden Peugeot 408 GT 2025 Model,2025,2250000,Kırıkkale,Merkez,sahibinden,satilik,peugeot,bilinmiyor,bilinmiyor,bilinmiyor
Fiat Doblo Combi 1.6 Multijet Premio Plus,Galeriden Fiat Doblo Combi 1.6 Multijet Premio Plus 2023 Model Samsun,2023,955000,Samsun,İlkadım,galeriden,satilik,fiat,combi.1,6,multijet
Peugeot 3008 1.5 BlueHDI Allure,2022 PEUGEOT 3008 1.5 BLUE HDİ ALLURE BOYASIZ,2022,1885000,Konya,Karatay,galeriden,satilik,peugeot,1.5,bluehdi,allure
Renault Talisman 1.5 dCi Touch,HATASIZ Talisman 1.5 dCi Touch 2016,2016,935000,Konya,Karatay,galeriden,satilik,renault,1.5,dci,touch
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,İLK EL YETKİLİ SERVİS BAKIMLI 1.6 DİZEL OTOMATİK GOLF,2015,970000,Elazığ,Merkez,galeriden,satilik,volkswagen,1.6,tdi,bluemotion
Toyota Hilux 2.4 D-4D 4x4 Invincible,Galeriden Toyota Hilux 2.4 D-4D 4x4 Invincible 2023 Model Aydın,2023,1995000,Aydın,Söke,galeriden,satilik,toyota,2.4,d,4d
Peugeot 301 1.6 BlueHDI Active,Sahibinden Peugeot 301 1.6 BlueHDI Active 2018 Model,2018,630000,İstanbul,Esenyurt,sahibinden,satilik,peugeot,1.6,bluehdi,active
Volkswagen Passat Variant 1.4 TSi BlueMotion Highline,2017 PASSAT WARİANT HİGHLİNE CAM TAVAN SAUNROOF OTOMATİK,2017,1395000,İstanbul,Bayrampaşa,galeriden,satilik,volkswagen,variant.1,4,tsi
Honda Civic 1.6 i-VTEC ES,ACAR OTOMOTİVDEN HONDA CİVİC 1.6 VTEC ES PAKET,2003,470000,Samsun,Bafra,galeriden,satilik,honda,1.6,i,vtec
Toyota Corolla 1.8 Hybrid Dream,HATASIZ-BOYASIZ-TRAMERSİZ-2021-COROLLA-OTOMATİK-HYBRİD-59BinKM,2021,1329000,Mersin,Toroslar,galeriden,satilik,toyota,1.8,hybrid,dream
Citroen C-Elysee 1.5 BlueHDi Shine,ÜNALLAR GROUP DAN HATASIZ FUL DONANIM SHİNE PAKET,2020,830000,Gaziantep,Nizip,galeriden,satilik,citroen,elysee.1,5,bluehdi
Hyundai Tucson 1.6 GDi Elite,Galeriden Hyundai Tucson 1.6 GDi Elite 2015 Model Antalya,2015,1175000,Antalya,Muratpaşa,galeriden,satilik,hyundai,1.6,gdi,elite
Fiat Doblo Combi 1.6 Multijet Dynamic,Galeriden Fiat Doblo Combi 1.6 Multijet Dynamic 2010 Model Antalya,2010,379000,Antalya,Muratpaşa,galeriden,satilik,fiat,combi.1,6,multijet
Ford Focus 1.5 TDCi Titanium,OTOMATİK KENDİ KENDİNE PARK ETME ÖZELLİKLİ,2017,1150000,Bolu,Merkez,galeriden,satilik,ford,1.5,tdci,titanium
Fiat Egea Cross 1.4 Fire Street,12.000 KM ORJINAL*2023 100.YIL*BOYASIZ*% 1.99 FAİZ -TAŞIT KREDİ,2023,930000,Osmaniye,Merkez,galeriden,satilik,fiat,cross.1,4,fire
Audi A4 Sedan 1.8 TFSI,A4 Sedan 1.8 TFSI 2010 Model Ankara,2010,829000,Ankara,Çankaya,galeriden,satilik,audi,sedan.1,8,tfsi
Fiat Egea 1.3 Multijet Easy,2021 EGEA EASY HATASIZ BOYASIZ,2021,789000,Ankara,Yenimahalle,galeriden,satilik,fiat,1.3,multijet,easy
Peugeot 408 GT,HATASIZ BOYASIZ EKSTRALI +4 bakım hediyeli,2023,1855000,Ankara,Yenimahalle,galeriden,satilik,peugeot,bilinmiyor,bilinmiyor,bilinmiyor
Fiat Linea 1.3 Multijet Emotion Plus,Galeriden Fiat Linea 1.3 Multijet Emotion Plus 2011 Model Rize,2011,499500,Rize,Merkez,galeriden,satilik,fiat,1.3,multijet,emotion
Audi A3 Sedan 35 TFSI Advanced,Sahibinden Audi A3 Sedan 35 TFSI Advanced 2023 Model,2023,2210000,Muş,Merkez,sahibinden,satilik,audi,sedan.35,tfsi,advanced
