smallest-text-minus href,listing-image src,listing-text-new,listing-text-new 2,fade-out-content-wrapper,fade-out-content-wrapper href 2,db,fade-out-content-wrapper 2,fade-out-content-wrapper 3,fade-out-content-wrapper 4
https://www.arabam.com/ilan/galeriden-satilik-jeep-renegade-1-6-multijet-limited/2019-jeep-renegade-1-6-multijet-limited/30192339,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30192339/372e41ed-9e24-4a80-a106-1af6988fffec_image_for_silan_30192339_240x180.jpg,Jeep Renegade 1.6 MultiJet Limited,2019 JEEP RENEGADE 1.6 MULTİJET LİMİTED,2019,https://www.arabam.com/ilan/galeriden-satilik-jeep-renegade-1-6-multijet-limited/2019-jeep-renegade-1-6-multijet-limited/30192339,1.350.000 TL,12 Haziran 2025,Ankara,Altındağ
https://www.arabam.com/ilan/galeriden-satilik-hyundai-i30-1-6-crdi-elite/2013-hyundai-i30-1-6-crdi-elite-sunroof-hatasiz-otomatik/30192180,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30192180/dbd700cd-f04e-423b-a595-503995d34202_image_for_silan_30192180_240x180.jpg,Hyundai i30 1.6 CRDi Elite,2013 HYUNDAİ İ30 1.6 CRDİ ELİTE SUNROOF HATASIZ OTOMATİK,2013,https://www.arabam.com/ilan/galeriden-satilik-hyundai-i30-1-6-crdi-elite/2013-hyundai-i30-1-6-crdi-elite-sunroof-hatasiz-otomatik/30192180,1.025.000 TL,12 Haziran 2025,Ankara,Altındağ
https://www.arabam.com/ilan/galeriden-satilik-chery-tiggo-8-pro-max-exceptional/chery-yeni-kasa-yeni-tip-145-hp-tiggo-8-pro-max-7-klt-ici-taba/30191171,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30191171/82d34d9c-b9f4-4ee0-ba65-4f6517dc689b_image_for_silan_30191171_240x180.jpg,Chery Tiggo 8 Pro Max Exceptional,CHERY YENİ KASA&YENİ TİP 145 HP' Tiggo 8 PRO max 7'KLT İÇİ TABA,2024,https://www.arabam.com/ilan/galeriden-satilik-chery-tiggo-8-pro-max-exceptional/chery-yeni-kasa-yeni-tip-145-hp-tiggo-8-pro-max-7-klt-ici-taba/30191171,1.910.900 TL,12 Haziran 2025,Sakarya,Serdivan
https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-cross-1-6-multijet-street-plus/egea-cross-2022-1-6-mltjet-street-plus-hatasiz-boyasiz-tramersiz/30190831,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30190831/7823ba15-138a-4f04-bab0-07aaf0f8c9b1_image_for_silan_30190831_240x180.jpg,Fiat Egea Cross 1.6 Multijet Street Plus,EGEA CROSS 2022 1.6 MLTJET STREET+PLUS HATASIZ+BOYASIZ+TRAMERSİZ,2022,https://www.arabam.com/ilan/galeriden-satilik-fiat-egea-cross-1-6-multijet-street-plus/egea-cross-2022-1-6-mltjet-street-plus-hatasiz-boyasiz-tramersiz/30190831,1.119.900 TL,12 Haziran 2025,Sakarya,Serdivan
https://www.arabam.com/ilan/galeriden-satilik-renault-captur-1-5-dci-icon/captur-2017-1-5-dci-edc-icon-36-bin-km-de-hatasiz-boyasiz/30190670,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30190670/4da52662-0d17-4d59-9b6e-c2f1fc3ca747_image_for_silan_30190670_240x180.jpg,Renault Captur 1.5 dCi Icon,CAPTUR 2017 1.5 DCİ EDC ICON 36.BİN KM''DE HATASIZ & BOYASIZ,2017,https://www.arabam.com/ilan/galeriden-satilik-renault-captur-1-5-dci-icon/captur-2017-1-5-dci-edc-icon-36-bin-km-de-hatasiz-boyasiz/30190670,1.179.900 TL,12 Haziran 2025,Sakarya,Serdivan
https://www.arabam.com/ilan/galeriden-satilik-fiat-linea-1-6-multijet-lounge/galeriden-fiat-linea-1-6-multijet-lounge-2012-model-istanbul/30019027,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/03/30019027/3b829367-ba1b-434f-9dfd-754339cd9bea_image_for_silan_30019027_240x180.jpg,Fiat Linea 1.6 Multijet Lounge,Galeriden Fiat Linea 1.6 Multijet Lounge 2012 Model İstanbul,2012,https://www.arabam.com/ilan/galeriden-satilik-fiat-linea-1-6-multijet-lounge/galeriden-fiat-linea-1-6-multijet-lounge-2012-model-istanbul/30019027,439.000 TL,12 Haziran 2025,İstanbul,Ümraniye
https://www.arabam.com/ilan/sahibinden-satilik-mercedes-benz-axor-1840-ls/sahibinden-mercedes-benz-axor-1840-ls-roterdarli-klimali-orjinal-km-hatasiz/30189533,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30189533/21e33b0c-096d-462c-81a6-a9e90bcd4ab8_image_for_silan_30189533_240x180.jpg,Mercedes - Benz Axor 1840 LS,Sahibinden Mercedes - Benz Axor 1840 LS roterdarlı klimalı orjinal km hatasız,2012,https://www.arabam.com/ilan/sahibinden-satilik-mercedes-benz-axor-1840-ls/sahibinden-mercedes-benz-axor-1840-ls-roterdarli-klimali-orjinal-km-hatasiz/30189533,2.100.000 TL,12 Haziran 2025,Denizli,Sarayköy
https://www.arabam.com/ilan/sahibinden-satilik-volvo-xc40-1-5-t3-inscription/sahibinden-volvo-xc40-1-5-t3-inscription-2021-model/30189947,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30189947/cd896cb0-b8cb-4cb4-a58d-c554ecd6b514_image_for_silan_30189947_240x180.jpg,Volvo XC40 1.5 T3 Inscription,Sahibinden Volvo XC40 1.5 T3 Inscription 2021 Model,2021,https://www.arabam.com/ilan/sahibinden-satilik-volvo-xc40-1-5-t3-inscription/sahibinden-volvo-xc40-1-5-t3-inscription-2021-model/30189947,2.250.000 TL,12 Haziran 2025,İstanbul,Çekmeköy
https://www.arabam.com/ilan/sahibinden-satilik-nissan-200-sx-2-0-turbo/sahibinden-nissan-200-sx-2-0-turbo-1997-model/30188175,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30188175/bddb39c8-f913-410c-9aaf-76e8e32a9e74_image_for_silan_30188175_240x180.jpg,Nissan 200 SX 2.0 Turbo,Sahibinden Nissan 200 SX 2.0 Turbo 1997 Model,1997,https://www.arabam.com/ilan/sahibinden-satilik-nissan-200-sx-2-0-turbo/sahibinden-nissan-200-sx-2-0-turbo-1997-model/30188175,1.850.000 TL,12 Haziran 2025,İstanbul,Tuzla
https://www.arabam.com/ilan/sahibinden-satilik-mercedes-benz-e-180-amg/sahibinden-hatasiz-boyasiz-mercedes-benz-e-180-amg-line/30187759,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30187759/8cface1f-a7c6-4fcd-874f-000dfab0ecfa_image_for_silan_30187759_240x180.jpg,Mercedes - Benz E 180 AMG,Sahibinden Hatasız/Boyasız Mercedes - Benz E 180 AMG Line,2017,https://www.arabam.com/ilan/sahibinden-satilik-mercedes-benz-e-180-amg/sahibinden-hatasiz-boyasiz-mercedes-benz-e-180-amg-line/30187759,2.799.000 TL,12 Haziran 2025,İstanbul,Gaziosmanpaşa
https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/hc-cars-2019-skoda-superb-1-6-tdi-prestige-cam-tavan-makyajli/30186177,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30186177/e201a7c5-25c8-487d-8281-f9c5c0892fd1_image_for_silan_30186177_240x180.jpg,Skoda SuperB 1.6 TDI Prestige,HC CARS - 2019 SKODA SUPERB 1.6 TDI PRESTİGE CAM TAVAN+MAKYAJLI,2019,https://www.arabam.com/ilan/galeriden-satilik-skoda-superb-1-6-tdi-prestige/hc-cars-2019-skoda-superb-1-6-tdi-prestige-cam-tavan-makyajli/30186177,1.849.000 TL,12 Haziran 2025,Ankara,Yenimahalle
https://www.arabam.com/ilan/galeriden-satilik-peugeot-308-1-6-thp-feeline-plus/galeriden-peugeot-308-1-6-thp-feeline-plus-2011-model-antalya/30185917,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30185917/904e0aed-2cfc-4abb-8059-24264859009f_image_for_silan_30185917_240x180.jpg,Peugeot 308 1.6 THP Feeline Plus,Galeriden Peugeot 308 1.6 THP Feeline Plus 2011 Model Antalya,2011,https://www.arabam.com/ilan/galeriden-satilik-peugeot-308-1-6-thp-feeline-plus/galeriden-peugeot-308-1-6-thp-feeline-plus-2011-model-antalya/30185917,685.000 TL,12 Haziran 2025,Antalya,Muratpaşa
https://www.arabam.com/ilan/sahibinden-satilik-seat-arona-1-0-ecotsi-fr/sahibinden-boyasiz-degisensiz-tramersiz-seat-arona-fr-plus-2023-cikisli/30184578,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30184578/13d61c59-e7ee-4b1e-bf87-163ecdcf7388_image_for_silan_30184578_240x180.jpg,Seat Arona 1.0 EcoTSI FR,SAHİBİNDEN BOYASIZ DEĞİŞENSİZ TRAMERSİZ SEAT ARONA FR PLUS 2023 ÇIKIŞLI,2022,https://www.arabam.com/ilan/sahibinden-satilik-seat-arona-1-0-ecotsi-fr/sahibinden-boyasiz-degisensiz-tramersiz-seat-arona-fr-plus-2023-cikisli/30184578,1.360.000 TL,12 Haziran 2025,İstanbul,Ümraniye
https://www.arabam.com/ilan/sahibinden-satilik-renault-clio-1-5-dci-grandtour-executive/sahibinden-renault-clio-1-5-dci-grandtour-20-yil-2011-model/30024034,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/03/30024034/522e1a20-c477-473b-9cf4-443410cf324c_image_for_silan_30024034_240x180.jpg,Renault Clio 1.5 dCi Grandtour Executive,Sahibinden Renault Clio 1.5 dCi Grandtour 20. Yıl  2011 Model,2011,https://www.arabam.com/ilan/sahibinden-satilik-renault-clio-1-5-dci-grandtour-executive/sahibinden-renault-clio-1-5-dci-grandtour-20-yil-2011-model/30024034,570.000 TL,12 Haziran 2025,İzmir,Bornova
https://www.arabam.com/ilan/sahibinden-satilik-audi-q5-2-0-tdi-quattro/sahibinden-audi-q5-2-0-tdi-quattro-2012-model/30184328,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30184328/82801902-16d4-418e-bc66-7f0e0b6635f3_image_for_silan_30184328_240x180.jpg,Audi Q5 2.0 TDI Quattro,Sahibinden Audi Q5 2.0 TDI Quattro 2012 Model,2012,https://www.arabam.com/ilan/sahibinden-satilik-audi-q5-2-0-tdi-quattro/sahibinden-audi-q5-2-0-tdi-quattro-2012-model/30184328,1.275.000 TL,12 Haziran 2025,Uşak,Merkez
https://www.arabam.com/ilan/galeriden-satilik-bmw-5-serisi-520i-comfort/bazaar-autodan-2014-bmw-520i-degisensiz-mukemmel-temizlikte/30066318,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/06/30066318/18ff1ec2-e135-4191-b885-74fcd01edb02_image_for_silan_30066318_240x180.jpg,BMW 5 Serisi 520i Comfort,BAZAAR AUTODAN 2014 BMW 520i DEĞİŞENSİZ MÜKEMMEL TEMİZLİKTE,2014,https://www.arabam.com/ilan/galeriden-satilik-bmw-5-serisi-520i-comfort/bazaar-autodan-2014-bmw-520i-degisensiz-mukemmel-temizlikte/30066318,1.135.000 TL,12 Haziran 2025,Kayseri,Kocasinan
https://www.arabam.com/ilan/galeriden-satilik-audi-q7-3-0-tdi-quattro/bazaar-otomotivden-2012-model-q7-ic-dis-s-line-tam-dolu/30002596,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/02/30002596/fe876829-83ce-48ec-b585-9d43543868a6_image_for_silan_30002596_240x180.jpg,Audi Q7 3.0 TDI Quattro,BAZAAR OTOMOTİVDEN 2012 MODEL Q7 İÇ DIŞ S LİNE TAM DOLU,2012,,1.350.000 TL,12 Haziran 2025,Kayseri,Kocasinan
https://www.arabam.com/ilan/galeriden-satilik-bmw-4-serisi-418i-gran-coupe-m-sport/bazaar-auto-dan-estroil-blue-2015-m-sport-418i-gran-coupe/28259692,https://arbstorage.mncdn.com/ilanfotograflari/2025/03/08/28259692/f54d3509-dada-42ba-aeb7-a9f3671b4d62_image_for_silan_28259692_240x180.jpg,BMW 4 Serisi 418i Gran Coupe M Sport,BAZAAR AUTO DAN ESTROİL BLUE 2015 M SPORT 418i GRAN COUPE,2015,https://www.arabam.com/ilan/galeriden-satilik-bmw-4-serisi-418i-gran-coupe-m-sport/bazaar-auto-dan-estroil-blue-2015-m-sport-418i-gran-coupe/28259692,1.350.000 TL,12 Haziran 2025,Kayseri,Kocasinan
https://www.arabam.com/ilan/sahibinden-satilik-peugeot-207-1-4-comfort/sahibinden-peugeot-207-1-4-comfort-2010-model/30151437,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/11/30151437/ea885b32-0669-4fb2-9eb6-61921f6a7f76_image_for_silan_30151437_240x180.jpg,Peugeot 207 1.4 Comfort,Sahibinden Peugeot 207 1.4 Comfort 2010 Model,2011,https://www.arabam.com/ilan/sahibinden-satilik-peugeot-207-1-4-comfort/sahibinden-peugeot-207-1-4-comfort-2010-model/30151437,460.000 TL,12 Haziran 2025,Kocaeli,Çayırova
https://www.arabam.com/ilan/sahibinden-satilik-peugeot-408-gt/sahibinden-peugeot-408-gt-2025-model/30183364,https://arbstorage.mncdn.com/ilanfotograflari/2025/06/12/30183364/074aae97-046f-40b8-9222-d92607d6f61e_image_for_silan_30183364_240x180.jpg,Peugeot 408 GT,Sahibinden Peugeot 408 GT 2025 Model,2025,https://www.arabam.com/ilan/sahibinden-satilik-peugeot-408-gt/sahibinden-peugeot-408-gt-2025-model/30183364,2.250.000 TL,12 Haziran 2025,Kırıkkale,Merkez
